Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Maldives","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Maldives","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Mali","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Mali","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Malte","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Malte","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Maroc","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Maroc","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Maurice","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Maurice","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","4"
"Bilans Alimentaires (2010-)","Mauritanie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","24"
"Bilans Alimentaires (2010-)","Mauritanie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","31"
"Bilans Alimentaires (2010-)","Mexique","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","924"
"Bilans Alimentaires (2010-)","Mexique","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1033"
"Bilans Alimentaires (2010-)","Mongolie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","6"
"Bilans Alimentaires (2010-)","Mongolie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","14"
"Bilans Alimentaires (2010-)","Monténégro","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Monténégro","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Mozambique","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","25"
"Bilans Alimentaires (2010-)","Mozambique","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","24"
"Bilans Alimentaires (2010-)","Myanmar","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Myanmar","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Namibie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","25"
"Bilans Alimentaires (2010-)","Namibie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","31"
"Bilans Alimentaires (2010-)","Népal","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Népal","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Nicaragua","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","8"
"Bilans Alimentaires (2010-)","Nicaragua","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Niger","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","8"
"Bilans Alimentaires (2010-)","Niger","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Nigéria","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Nigéria","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","12"
"Bilans Alimentaires (2010-)","Norvège","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Norvège","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Nouvelle-Calédonie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Nouvelle-Calédonie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Nouvelle-Zélande","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","1"
